Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1629743580000,2021-08-23 18:33:00,BTCUSD,49571.77,49571.77,49543.88,49543.88,0.01819649
1629743640000,2021-08-23 18:34:00,BTCUSD,49543.88,49592.87,49539.48,49592.87,0.1033080077
1629743700000,2021-08-23 18:35:00,BTCUSD,49592.87,49608.22,49583.44,49606.54,0.202977027
1629743760000,2021-08-23 18:36:00,BTCUSD,49606.54,49606.54,49576.96,49585.17,0.01489947
1629743820000,2021-08-23 18:37:00,BTCUSD,49585.17,49585.17,49559.25,49559.25,0.2664722333
1629743880000,2021-08-23 18:38:00,BTCUSD,49559.25,49560.04,49538.62,49560.04,0.02404647
1629743940000,2021-08-23 18:39:00,BTCUSD,49560.04,49567.97,49543.73,49543.73,0.05861955
1629744000000,2021-08-23 18:40:00,BTCUSD,49543.73,49578.73,49538.7,49576.58,0.1177032847
1629744060000,2021-08-23 18:41:00,BTCUSD,49576.58,49592.34,49560.54,49592.34,0.0829077396
1629744120000,2021-08-23 18:42:00,BTCUSD,49592.34,49592.34,49552.59,49569.25,4.07504829
1629744180000,2021-08-23 18:43:00,BTCUSD,49569.25,49569.25,49556.13,49563.33,1.3063307
1629744240000,2021-08-23 18:44:00,BTCUSD,49563.33,49563.34,49552.59,49553.09,1.89158504
1629744300000,2021-08-23 18:45:00,BTCUSD,49553.09,49638.77,49553.09,49619.87,0.94377656
1629744360000,2021-08-23 18:46:00,BTCUSD,49619.87,49636.18,49572.84,49572.84,1.08134951
1629744420000,2021-08-23 18:47:00,BTCUSD,49572.84,49572.84,49564.46,49569.68,0.02971614
1629744480000,2021-08-23 18:48:00,BTCUSD,49569.68,49569.68,49551.0,49551.0,0.0452123877
1629744540000,2021-08-23 18:49:00,BTCUSD,49551.0,49558.0,49517.33,49534.99,1.90407573
1629744600000,2021-08-23 18:50:00,BTCUSD,49534.99,49548.03,49514.54,49514.9,0.338581885
1629744660000,2021-08-23 18:51:00,BTCUSD,49514.9,49514.9,49460.01,49463.96,1.4681990345
1629744720000,2021-08-23 18:52:00,BTCUSD,49463.96,49471.99,49435.59,49454.83,2.23589143
1629744780000,2021-08-23 18:53:00,BTCUSD,49454.83,49461.37,49429.34,49461.37,0.172439873
1629744840000,2021-08-23 18:54:00,BTCUSD,49461.37,49464.61,49450.3,49451.63,1.59632111
1629744900000,2021-08-23 18:55:00,BTCUSD,49451.63,49503.57,49442.0,49498.9,0.82719364
1629744960000,2021-08-23 18:56:00,BTCUSD,49498.9,49502.48,49478.0,49489.45,0.49362287
1629745020000,2021-08-23 18:57:00,BTCUSD,49489.45,49497.8,49484.0,49496.22,4.29063895
1629745080000,2021-08-23 18:58:00,BTCUSD,49496.22,49496.22,49472.91,49477.55,0.3326973
1629745140000,2021-08-23 18:59:00,BTCUSD,49477.55,49477.55,49460.0,49469.8,0.12255779
1629745200000,2021-08-23 19:00:00,BTCUSD,49469.8,49473.69,49412.36,49412.9,0.5134118715
1629745260000,2021-08-23 19:01:00,BTCUSD,49412.9,49416.8,49382.32,49382.32,0.06519343
1629745320000,2021-08-23 19:02:00,BTCUSD,49382.32,49416.99,49382.32,49416.99,1.21784917
1629745380000,2021-08-23 19:03:00,BTCUSD,49416.99,49443.33,49255.94,49299.63,3.5368896601
