,Tweetcount,Sentiment,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
35,167,0.08814402985155231,1629744180000,2021-08-23 18:43:00,BTCUSD,49569.25,49569.25,49556.13,49563.33,1.3063307
36,164,0.08018090090803506,1629744240000,2021-08-23 18:44:00,BTCUSD,49563.33,49563.34,49552.59,49553.09,1.89158504
37,184,0.10941769206035509,1629744300000,2021-08-23 18:45:00,BTCUSD,49553.09,49638.77,49553.09,49619.87,0.94377656
38,167,0.10534068227181999,1629744360000,2021-08-23 18:46:00,BTCUSD,49619.87,49636.18,49572.84,49572.84,1.08134951
39,179,0.09393440591066289,1629744420000,2021-08-23 18:47:00,BTCUSD,49572.84,49572.84,49564.46,49569.68,0.02971614
40,177,0.07165425440849171,1629744480000,2021-08-23 18:48:00,BTCUSD,49569.68,49569.68,49551.0,49551.0,0.0452123877
41,155,0.09333020993343571,1629744540000,2021-08-23 18:49:00,BTCUSD,49551.0,49558.0,49517.33,49534.99,1.90407573
42,160,0.08383709161931817,1629744600000,2021-08-23 18:50:00,BTCUSD,49534.99,49548.03,49514.54,49514.9,0.338581885
43,182,0.09344442594442592,1629744660000,2021-08-23 18:51:00,BTCUSD,49514.9,49514.9,49460.01,49463.96,1.4681990345
44,182,0.07092244065458353,1629744720000,2021-08-23 18:52:00,BTCUSD,49463.96,49471.99,49435.59,49454.83,2.23589143
45,196,0.07166628290926762,1629744780000,2021-08-23 18:53:00,BTCUSD,49454.83,49461.37,49429.34,49461.37,0.172439873
46,200,0.09159409271284272,1629744840000,2021-08-23 18:54:00,BTCUSD,49461.37,49464.61,49450.3,49451.63,1.59632111
47,168,0.05905813377539567,1629744900000,2021-08-23 18:55:00,BTCUSD,49451.63,49503.57,49442.0,49498.9,0.82719364
48,153,0.08069752143281553,1629744960000,2021-08-23 18:56:00,BTCUSD,49498.9,49502.48,49478.0,49489.45,0.49362287
49,194,0.07547881800330254,1629745020000,2021-08-23 18:57:00,BTCUSD,49489.45,49497.8,49484.0,49496.22,4.29063895
50,165,0.09126081595172503,1629745080000,2021-08-23 18:58:00,BTCUSD,49496.22,49496.22,49472.91,49477.55,0.3326973
51,194,0.07467595691822493,1629745140000,2021-08-23 18:59:00,BTCUSD,49477.55,49477.55,49460.0,49469.8,0.12255779
52,265,0.05765480138310328,1629745200000,2021-08-23 19:00:00,BTCUSD,49469.8,49473.69,49412.36,49412.9,0.5134118715
53,188,0.050346194019731255,1629745260000,2021-08-23 19:01:00,BTCUSD,49412.9,49416.8,49382.32,49382.32,0.06519343
54,178,0.07523476133728943,1629745320000,2021-08-23 19:02:00,BTCUSD,49382.32,49416.99,49382.32,49416.99,1.21784917
55,34,0.03911541889483066,1629745380000,2021-08-23 19:03:00,BTCUSD,49416.99,49443.33,49255.94,49299.63,3.5368896601
